approved_symbol,hgnc_id,gene_name_reported,source,Publication_count
ABCC6,HGNC:57,ABCC6,PMID_35325889 | PMID_30476936,2
ABCC8,HGNC:59,ABCC8,PMID_35325889,1
ABCD4,HGNC:68,ABCD4,PMID_30476936,1
ABCG2,HGNC:74,ABCG2,PMID_35325889,1
ACE,HGNC:2707,ACE,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864 | PMID_35005812,11
ACP5,HGNC:124,ACP5,PMID_30476936,1
ACTA2,HGNC:130,ACTA2,PMID_34264297 | PMID_30476936 | PMID_35005812,3
ACTB,HGNC:132,ACTB,PMID_35325889 | PMID_30476936,2
ACTG2,HGNC:145,ACTG2,PMID_34264297 | PMID_30476936 | PMID_35005812,3
ACTN4,HGNC:166,ACTN4,PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864,10
ACVRL1,HGNC:175,ACVRL1,PMID_30476936,1
ADA2,HGNC:1839,ADA2 | CECR1,PMID_35325889 | PMID_30476936,2
ADAMTS13,HGNC:1366,ADAMTS13,PMID_35325889 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891,6
ADCY10,HGNC:21285,ADCY10,PMID_35325889 | PMID_33664247 | PMID_31027891 | PMID_33532864,4
AFF4,HGNC:17869,AFF4,PMID_30476936,1
AGPAT2,HGNC:325,AGPAT2,PMID_35325889 | PMID_30476936,2
AGT,HGNC:333,AGT,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864 | PMID_35005812,9
AGTR1,HGNC:336,AGTR1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864 | PMID_35005812,9
AGXT,HGNC:341,AGXT,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,10
AHI1,HGNC:21575,AHI1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,10
ALDOB,HGNC:417,ALDOB,PMID_34264297,1
ALG1,HGNC:18294,ALG1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_33532864 | PMID_35005812,5
ALG13,HGNC:30881,ALG13,PMID_35325889 | PMID_31027891,2
ALG8,HGNC:23161,ALG8,PMID_35325889 | PMID_30476936 | PMID_33532864,3
ALG9,HGNC:15672,ALG9,PMID_35325889 | PMID_30476936 | PMID_31027891,3
ALMS1,HGNC:428,ALMS1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,8
ALPL,HGNC:438,ALPL,PMID_35325889 | PMID_33664247 | PMID_30476936 | PMID_33532864,4
AMER1,HGNC:26837,AMER1,PMID_30476936,1
AMN,HGNC:14604,AMN,PMID_35325889 | PMID_30476936,2
ANKFY1,HGNC:20763,ANKFY1,PMID_34264297 | PMID_33532864,2
ANKS6,HGNC:26724,ANKS6,PMID_35325889 | PMID_34264297 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_33532864 | PMID_35005812,8
ANLN,HGNC:14082,ANLN,PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_33532864,7
