approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ABCC6,57,ABCC6,PMID_35325889 | PMID_30476936,2,TRUE
ABCC8,59,ABCC8,PMID_35325889,1,FALSE
ABCD4,68,ABCD4,PMID_30476936,1,FALSE
ABCG2,74,ABCG2,PMID_35325889,1,FALSE
ACE,2707,ACE,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864 | PMID_35005812,11,TRUE
ACP5,124,ACP5,PMID_30476936,1,FALSE
ACTA2,130,ACTA2,PMID_34264297 | PMID_30476936 | PMID_35005812,3,TRUE
ACTB,132,ACTB,PMID_35325889 | PMID_30476936,2,TRUE
ACTG2,145,ACTG2,PMID_34264297 | PMID_30476936 | PMID_35005812,3,TRUE
ACTN4,166,ACTN4,PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864,10,TRUE
ACVRL1,175,ACVRL1,PMID_30476936,1,FALSE
ADA2,1839,ADA2 | CECR1,PMID_35325889 | PMID_30476936,2,TRUE
ADAMTS13,1366,ADAMTS13,PMID_35325889 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891,6,TRUE
ADCY10,21285,ADCY10,PMID_35325889 | PMID_33664247 | PMID_31027891 | PMID_33532864,4,TRUE
AFF4,17869,AFF4,PMID_30476936,1,FALSE
AGPAT2,325,AGPAT2,PMID_35325889 | PMID_30476936,2,TRUE
AGT,333,AGT,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864 | PMID_35005812,9,TRUE
AGTR1,336,AGTR1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864 | PMID_35005812,9,TRUE
AGXT,341,AGXT,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,10,TRUE
AHI1,21575,AHI1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,10,TRUE
ALDOB,417,ALDOB,PMID_34264297,1,FALSE
ALG1,18294,ALG1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_33532864 | PMID_35005812,5,TRUE
ALG13,30881,ALG13,PMID_35325889 | PMID_31027891,2,TRUE
ALG8,23161,ALG8,PMID_35325889 | PMID_30476936 | PMID_33532864,3,TRUE
ALG9,15672,ALG9,PMID_35325889 | PMID_30476936 | PMID_31027891,3,TRUE
ALMS1,428,ALMS1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,8,TRUE
ALPL,438,ALPL,PMID_35325889 | PMID_33664247 | PMID_30476936 | PMID_33532864,4,TRUE
AMER1,26837,AMER1,PMID_30476936,1,FALSE
AMN,14604,AMN,PMID_35325889 | PMID_30476936,2,TRUE
ANKFY1,20763,ANKFY1,PMID_34264297 | PMID_33532864,2,TRUE
ANKS6,26724,ANKS6,PMID_35325889 | PMID_34264297 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_33532864 | PMID_35005812,8,TRUE
ANLN,14082,ANLN,PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_33532864,7,TRUE
ANOS1,6211,ANOS1 | KAL1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864 | PMID_35005812,9,TRUE
AP2S1,565,AP2S1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_33532864,5,TRUE
APC2,24036,APC2,PMID_30476936,1,FALSE
APOA1,600,APOA1,PMID_35325889 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864,6,TRUE
APOA2,601,APOA2,PMID_31509055 | PMID_31822006,2,TRUE
APOC2,609,APOC2,PMID_35325889,1,FALSE
APOE,613,APOE,PMID_35325889 | PMID_31509055 | PMID_31822006 | PMID_31027891,4,TRUE
APOL1,618,APOL1,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864,8,TRUE
APRT,626,APRT,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,10,TRUE
AQP2,634,AQP2,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_33532864,7,TRUE
ARHGAP24,25361,ARHGAP24,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864,8,TRUE
