approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ABCC6,57,ABCC6,OMIM:264800 (HP:0100817); OMIM:614473 (HP:0000121),2,TRUE
ACE,2707,ACE,OMIM:267430 (HP:0008660 | HP:0100519),1,TRUE
ACP5,124,ACP5,OMIM:607944 (HP:0005576),1,TRUE
ACTG2,145,ACTG2,OMIM:155310 (HP:0000076 | HP:0000126); OMIM:619431 (HP:0000072 | HP:0000126),2,TRUE
ACTN4,166,ACTN4,OMIM:603278 (HP:0003774 | HP:0000097),1,TRUE
ADA,186,ADA,OMIM:102700 (HP:0001967); OMIM:102700 (HP:0001967); OMIM:102700 (HP:0001967); OMIM:102700 (HP:0001967),4,TRUE
ADA2,1839,ADA2,OMIM:615688 (HP:0033261),1,TRUE
ADAMTS13,1366,ADAMTS13,OMIM:274150 (HP:0005575 | HP:0012211 | HP:0002907),1,TRUE
ADCY10,21285,ADCY10,OMIM:143870 (HP:0008672),1,TRUE
ADNP,15766,ADNP,OMIM:615873 (HP:0000105),1,TRUE
AFF3,6473,AFF3,OMIM:619297 (HP:0000089 | HP:0000085),1,TRUE
AFF4,17869,AFF4,OMIM:616368 (HP:0000085 | HP:0000076),1,TRUE
AGPAT2,325,AGPAT2,OMIM:608594 (HP:0000787),1,TRUE
AGT,333,AGT,OMIM:267430 (HP:0008660 | HP:0100519),1,TRUE
AGTR1,336,AGTR1,OMIM:267430 (HP:0008660 | HP:0100519),1,TRUE
AGXT,341,AGXT,OMIM:259900 (HP:0000121 | HP:0000083 | HP:0008672 | HP:0000790),1,TRUE
AHI1,21575,AHI1,OMIM:608629 (HP:0003774 | HP:0000090),1,TRUE
AIRE,360,AIRE,OMIM:240300 (HP:0000121); OMIM:240300 (HP:0000121),2,TRUE
AKT1,391,AKT1,OMIM:114500 (HP:0005584),1,TRUE
ALDH18A1,9722,ALDH18A1,OMIM:616603 (HP:0000122),1,TRUE
ALDOB,417,ALDOB,OMIM:229600 (HP:0000114 | HP:0002049),1,TRUE
ALG5,20266,ALG5,OMIM:620056 (HP:0003774 | HP:0012585 | HP:0032948 | HP:0000083 | HP:0005562),1,TRUE
ALG8,23161,ALG8,OMIM:617874 (HP:0000107),1,TRUE
ALG9,15672,ALG9,OMIM:263210 (HP:0000113); OMIM:608776 (HP:0000113),2,TRUE
ALKBH8,25189,ALKBH8,OMIM:618504 (HP:0000122),1,TRUE
ALMS1,428,ALMS1,OMIM:203800 (HP:0000123 | HP:0001970 | HP:0000083),1,TRUE
ALPL,438,ALPL,OMIM:241500 (HP:0000121),1,TRUE
AMER1,26837,AMER1,OMIM:300373 (HP:0000003),1,TRUE
AMMECR1,467,AMMECR1,OMIM:300990 (HP:0000121 | HP:0000110),1,TRUE
AMN,14604,AMN,OMIM:618882 (HP:0000083),1,TRUE
ANKRD17,23575,ANKRD17,OMIM:619504 (HP:0000122),1,TRUE
ANKS6,26724,ANKS6,OMIM:615382 (HP:0003774 | HP:0000083 | HP:0000090 | HP:0000113 | HP:0000105),1,TRUE
ANLN,14082,ANLN,OMIM:616032 (HP:0003774 | HP:0000100 | HP:0000097),1,TRUE
ANOS1,6211,ANOS1,OMIM:308700 (HP:0000122),1,TRUE
ANTXR1,21014,ANTXR1,OMIM:230740 (HP:0005576),1,TRUE
AP2S1,565,AP2S1,OMIM:600740 (HP:0000083 | HP:0000787 | HP:0008659),1,TRUE
APC,583,APC,OMIM:114500 (HP:0005584),1,TRUE
APOA1,600,APOA1,OMIM:105200 (HP:0000112 | HP:0000100 | HP:0000790),1,TRUE
APOE,613,APOE,OMIM:611771 (HP:0100820 | HP:0012574 | HP:0000083),1,TRUE
APOL1,618,APOL1,OMIM:612551 (HP:0003774 | HP:0000097),1,TRUE
APRT,626,APRT,OMIM:614723 (HP:0000083 | HP:0000790 | HP:0034368 | HP:0100520 | HP:0000787),1,TRUE
AQP2,634,AQP2,OMIM:125800 (HP:0000103); OMIM:125800 (HP:0000103),2,TRUE
ARHGDIA,678,ARHGDIA,OMIM:615244 (HP:0003774 | HP:0000100 | HP:0012577 | HP:0012622 | HP:0001967),1,TRUE
ARID1B,18040,ARID1B,OMIM:135900 (HP:0000089 | HP:0000086 | HP:0000126 | HP:0000072),1,TRUE
ARL3,694,ARL3,OMIM:618161 (HP:0030760 | HP:0000003 | HP:0000126),1,TRUE
ARL6,13210,ARL6,OMIM:209900 (HP:0000077); OMIM:209900 (HP:0000077); OMIM:600151 (HP:0000089),3,TRUE
ARNT2,16876,ARNT2,OMIM:615926 (HP:0000076 | HP:0000126),1,TRUE
ARPC4,707,ARPC4,OMIM:620141 (HP:0000126),1,TRUE
ARSK,25239,ARSK,OMIM:619698 (HP:0000787),1,TRUE
ARX,18060,ARX,OMIM:300004 (HP:0000110),1,TRUE
ASXL1,18318,ASXL1,OMIM:605039 (HP:0000076),1,TRUE
ASXL2,23805,ASXL2,OMIM:617190 (HP:0000122),1,TRUE
ATN1,3033,ATN1,OMIM:618494 (HP:0000089 | HP:0000122 | HP:0000126),1,TRUE
ATP1A1,799,ATP1A1,OMIM:618314 (HP:0000121 | HP:0000103),1,TRUE
ATP6V0A4,866,ATP6V0A4,OMIM:602722 (HP:0000121 | HP:0008341),1,TRUE
ATP6V1B1,853,ATP6V1B1,OMIM:267300 (HP:0001947 | HP:0000787),1,TRUE
ATP7A,869,ATP7A,OMIM:304150 (HP:0006000 | HP:0000126),1,TRUE
ATP7B,870,ATP7B,OMIM:277900 (HP:0000124 | HP:0000787),1,TRUE
ATPAF2,18802,ATPAF2,OMIM:604273 (HP:0000089),1,TRUE
ATRX,886,ATRX,OMIM:301040 (HP:0000126 | HP:0000104); OMIM:309580 (HP:0000089 | HP:0000076),2,TRUE
AURKA,11393,AURKA,OMIM:114500 (HP:0005584); OMIM:114500 (HP:0005584),2,TRUE
AVIL,14188,AVIL,OMIM:618594 (HP:0003774 | HP:0031266 | HP:0001967 | HP:0012588),1,TRUE
AVPR2,897,AVPR2,OMIM:304800 (HP:0000103),1,TRUE
AXIN1,903,AXIN1,OMIM:607864 (HP:0000073),1,TRUE
AXIN2,904,AXIN2,OMIM:114500 (HP:0005584),1,TRUE
B2M,914,B2M,OMIM:105200 (HP:0000112 | HP:0000100 | HP:0000790),1,TRUE
B3GALT6,17978,B3GALT6,OMIM:609465 (HP:0000126),1,TRUE
B3GLCT,20207,B3GLCT,OMIM:261540 (HP:0000089 | HP:0000126 | HP:0000073),1,TRUE
B4GAT1,15685,B4GAT1,OMIM:615287 (HP:0000003 | HP:0000126),1,TRUE
B9D1,24123,B9D1,OMIM:614209 (HP:0000003); OMIM:617120 (HP:0010946),2,TRUE
B9D2,28636,B9D2,OMIM:614175 (HP:0000107); OMIM:614175 (HP:0000107),2,TRUE
