approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
A2M,7,A2M,33107589; 30624993,2,FALSE
A4GALT,18149,A4GALT,32274449; 29618309; 27438980,3,TRUE
AATF,19235,AATF,22178801,1,FALSE
ABCA1,29,ABCA1,36496495; 35547199; 31929604; 29046474; 26546829; 19056482; 17332731,9,TRUE
ABCB1,40,ABCB1,34740465; 33923087; 33785019; 27841150; 24262617; 24309308; 18518855; 18518969; 17376299; 17043887,17,TRUE
ABCB11,42,ABCB11,25771912,1,FALSE
ABCC1,51,ABCC1,28891970,1,FALSE
ABCC2,53,ABCC2,18518855,1,FALSE
ABCC4,55,ABCC4,36923356; 30382560,2,FALSE
ABCC6,57,ABCC6,31861118; 29991491; 28891970; 18791038,5,TRUE
ABCC8,59,ABCC8,36314849; 22466262; 18678608; 18301398,5,TRUE
ABCG2,74,ABCG2,36745138; 34668025; 32000861; 31578528; 30181573; 29558500; 29225919; 24909660; 23064961,14,TRUE
ABL1,76,ABL1,25366011,1,FALSE
ABO,79,ABO,33752990; 23902562; 21070754; 15996164,4,TRUE
ACACA,84,ACACA,27409573; 22178801,2,FALSE
ACACB,85,ACACB,27536665,1,FALSE
ACAD11,30211,ACAD11,27461219,1,FALSE
ACAT2,94,ACAT2,19578796; 19282863,2,FALSE
ACE,2707,ACE,20301311; 20301424; 35848000; 35005812; 35022790; 34947975; 34957720; 34901198; 34717572; 34608521; 34610128; 20301541; 34455814; 34176013; 33837952; 33766008; 33768328; 33363218; 33276866; 33173183; 32808512; 32543055; 32198635; 31922211; 31793908; 31182139; 31044288; 31048445; 20301386; 30320542; 30238151; 30128941; 29982608; 29949384; 29663071; 20301598; 29193639; 28815356; 28620495; 28447048; 28502589; 28344754; 28352005; 28352015; 28236514; 28125198; 27287265; 27190345; 27023839; 26942026; 26613025; 26440392; 27536662; 27536663; 27536665; 25899979; 25107927; 24988067; 24737640; 24658007; 24625756; 24498151; 24452035; 24262794; 23176211; 23120809; 23060471; 23077080; 22903660; 22739771; 22497104; 22147663; 21903317; 21421653; 21127830; 20607303; 20191369; 19546528; 19352213; 19288324; 19076285; 18629615; 18523141; 18550651; 18031111; 17885551; 16935894; 16936219; 16960460; 16267800; 16208534; 16227765; 15946912; 15385810; 15338496; 14730545; 14767013; 14524582; 12728975; 12147786; 11961010; 11987676; 11917060; 11733623; 11381371; 11233367; 11200871; 11014979; 10916074; 10821348; 10727542; 10619438; 10651217; 10430974; 10391391; 10100072; 9853248; 9865673; 9870486; 9710341; 9808093; 9820440; 9442442; 9291178; 9084972; 9081678; 9399039; 8821846,202,TRUE
ACE2,13557,ACE2,36435682; 35359461; 35236774; 35176079; 34767537; 34228902; 33942030; 31048445,13,TRUE
ACER3,16066,ACER3,34127828,1,FALSE
ACKR1,4035,ACKR1,27711207,1,FALSE
ACKR2,1565,ACKR2,26798651,1,FALSE
ACLY,115,ACLY,35812273,2,FALSE
ACOT13,20999,ACOT13,34886911,2,FALSE
ACOT2,18431,ACOT2,35120996,1,FALSE
ACR,126,ACR,32199754; 30026549; 22932273,3,TRUE
ACSM2B,30931,ACSM2B,24625756,1,FALSE
ACSM3,10522,ACSM3,26352407,1,FALSE
ACSS3,24723,ACSS3,36510703,1,FALSE
ACTA1,129,ACTA1,34671208; 34013113; 26727661; 21151672; 18950917,5,TRUE
ACTA2,130,ACTA2,32779812; 23584850,2,FALSE
ACTB,132,ACTB,31396261,1,FALSE
ACTL7B,162,ACTL7B,12840782,1,FALSE
ACTN1,163,ACTN1,35404999; 33615072; 26805783; 15843396; 11113628,6,TRUE
ACTN4,166,ACTN4,36815115; 36176665; 36090564; 34815884; 34499164; 34449692; 33951000; 33615072; 33541266; 33428103; 33194467; 32774956; 32616495; 32394188; 32203225; 31922211; 31538321; 31308072; 30612599; 30550036; 30099615; 29970751; 29946535; 29669314; 29713631; 29321142; 29138824; 29038887; 28852486; 28242845; 27977723; 27816064; 27573339; 26892346; 26740551; 29043128; 26301083; 26039629; 25411248; 24902943; 24903390; 24152508; 23689571; 23468032; 22971997; 23014460; 22965004; 22732337; 21866090; 21623907; 21511817; 21359059; 20347641; 20224877; 19956976; 19838113; 19652713; 19357112; 18975016; 18436095; 17530296; 17216259; 17082197; 16939069; 16530601; 15780077; 15208719; 14730545; 12953036; 12619708; 10700177,110,TRUE
ACTR2,169,ACTR2,29058690,1,FALSE
ACTR3,170,ACTR3,33615072; 29058690,3,TRUE
ACVR1B,172,ACVR1B,28168444,1,FALSE
ACVR1C,18123,ACVR1C,28168444,1,FALSE
ACY3,24104,ACY3,24625756,1,FALSE
ADA2,1839,ADA2,35817275,2,FALSE
ADAMTS13,1366,ADAMTS13,35946293; 33614676; 32860170; 28940540; 24816970; 24182801; 23700827; 28509219; 23162276; 22834933; 20539230; 15323259,14,TRUE
ADAMTS3,219,ADAMTS3,36045113,1,FALSE
ADAMTS9,13202,ADAMTS9,34750010,1,FALSE
ADAR,225,ADAR,36282916; 33482855,3,TRUE
ADCY5,236,ADCY5,23193183; 21670265,4,TRUE
ADCY6,237,ADCY6,21670265,1,FALSE
ADD1,243,ADD1,24658007; 22677360; 10694835,4,TRUE
ADD3,245,ADD3,33414130,2,FALSE
ADGRE2,3337,ADGRE2,23554678,1,FALSE
ADGRL3,20974,ADGRL3,30226566,1,FALSE
ADH1B,250,ADH1B,24358217,1,FALSE
ADH4,252,ADH4,24625756,1,FALSE
ADIPOQ,13633,ADIPOQ,32983895; 30340464; 28499019; 25957229; 25280384; 22471989; 21694920; 17593691,14,TRUE
ADM,259,ADM,21909115,1,FALSE
ADORA2A,263,ADORA2A,26612203,1,FALSE
ADORA3,268,ADORA3,9867085,1,FALSE
ADRB2,286,ADRB2,26612203; 24658007; 21054877; 19578796,4,TRUE
ADRB3,288,ADRB3,26410617; 9867085,3,TRUE
AFF3,6473,AFF3,23028342,1,FALSE
AFP,317,AFP,36071576; 31574857; 20301568; 27004616; 7544896,7,TRUE
AGBL3,27981,AGBL3,29321782,1,FALSE
AGER,320,AGER,32989644; 27448675; 26429324; 26083729; 25582438; 23894685; 18089449; 19662215,16,TRUE
AGGF1,24684,AGGF1,27711207,1,FALSE
AGPAT2,325,AGPAT2,32280377,1,FALSE
AGPS,327,AGPS,35422838,1,FALSE
AGRN,329,AGRN,22410250,1,FALSE
AGT,333,AGT,36499730; 35005812; 33768328; 33668947; 33173183; 32265040; 32198635; 31924810; 31930100; 31048445; 30852714; 29642240; 28344754; 27568336; 25906781; 25537744; 25027322; 24737640; 24658007; 24452035; 23176211; 22739771; 22147663; 20122389; 19546528; 19584721; 19288324; 18985387; 18206321; 18256307; 17593691; 16396964; 15946912; 15385810; 14767013; 12728975; 11675943; 11200871; 10916074; 9853248; 9865673; 9461232; 9291178; 8821846; 7567973,64,TRUE
AGTR1,336,AGTR1,36982595; 35988586; 35005812; 33820928; 33768328; 33173183; 32198635; 31048445; 30340464; 29982608; 20301598; 24551085; 24452035; 24261234; 23176211; 22739771; 22147663; 19546528; 19406964; 19288324; 19056482; 18985387; 16396964; 15946912; 15385810; 14767013; 12728975; 11987676; 10916074; 9853248; 9865673,38,TRUE
AGTR2,338,AGTR2,31048445; 23176211,2,FALSE
AGTRAP,13539,AGTRAP,34089082; 23653383,2,FALSE
AGXT,341,AGXT,36409364; 36194362; 35678848; 35592621; 35505724; 35218550; 32569165; 32102150; 32003182; 31151050; 30852714; 30541997; 30397603; 29319775; 28619084; 28161266; 27915025; 27561601; 27568336; 27512303; 26352407; 26090995; 25854853; 24257694; 24012869; 23830800; 23810941; 23439734; 22956877; 21612638; 20020206; 18810341; 16922352; 16801162; 10737993,61,TRUE
AHI1,21575,AHI1,36580738; 35238134; 33777383; 32139166; 31938409; 29146704; 20301500; 28118669; 23028714; 21866095; 19778711; 19109428; 18950740; 18633336; 18054307; 16155189,19,TRUE
AHR,348,AHR,27739473; 21803694,2,FALSE
AHSG,349,AHSG,35097025; 32427690; 32074140; 19004191; 16076356,7,TRUE
AICDA,13203,AICDA,17657098,1,FALSE
AIFM3,26398,AIFM3,28121514,1,FALSE
AIM2,357,AIM2,36745138; 32020248,3,TRUE
AIP,358,AIP,21744088,1,FALSE
AIRE,360,AIRE,36875114; 27142200,4,TRUE
AJAP1,30801,AJAP1,23064961,1,FALSE
AKAP12,370,AKAP12,19724895,1,FALSE
AKIRIN2,21407,AKIRIN2,35763030,1,FALSE
AKR1B1,381,AKR1B1,21127830; 16620264,3,TRUE
AKR1B10,382,AKR1B10,33615072,1,FALSE
AKR1C1,384,AKR1C1,36441012; 31472005,2,FALSE
AKT1,391,AKT1,34090932; 33613617; 30375624; 29686650; 29470850; 28677502; 28353628; 27056978; 27730700; 27610015; 27356569; 26612203; 24193408; 23020131; 21392577; 21300060; 21118718; 20875407; 19863783; 19176689; 16917544,23,TRUE
AKT1S1,28426,AKT1S1,23020131,1,FALSE
ALAD,395,ALAD,36642627,1,FALSE
ALAS1,396,ALAS1,27804912,1,FALSE
ALB,399,ALB,36926036; 36726431; 36731435; 36556986; 36314849; 36266725; 33476040; 32011449; 31924810; 31746731; 20301501; 30120300; 28658768; 28344754; 28173653; 26776194; 26432106; 25857429; 24594573; 23041322; 22735364; 20095078; 19466593; 19468830; 18791744; 18455850; 18019214; 16481888; 16407421; 16213262; 12631336; 12584275; 11760404,33,TRUE
ALDH1A2,15472,ALDH1A2,30632787,1,FALSE
ALDH2,404,ALDH2,34073884; 32514006; 29558500,4,TRUE
ALG5,20266,ALG5,35896117,1,FALSE
ALG9,15672,ALG9,36573973; 35896117; 34890546; 32690722; 32398770; 31395617; 15945070,8,TRUE
ALMS1,428,ALMS1,36623684; 35702577; 35140360; 20301444; 30385718; 30064963; 21691125; 20728256; 17594715,11,TRUE
ALOX12,429,ALOX12,34545296,1,FALSE
ALOX15B,434,ALOX15B,20926632,1,FALSE
ALOX5AP,436,ALOX5AP,19288030,1,FALSE
ALPL,438,ALPL,32474245,3,TRUE
ALPP,439,ALPP,32474245; 27005479,5,TRUE
AMBP,453,AMBP,33107589,2,FALSE
AMH,464,AMH,35620436; 24583054,3,TRUE
AMN,14604,AMN,36266725; 16722557,3,TRUE
AMY1A,474,AMY1A,24686848,1,FALSE
AMY2A,477,AMY2A,24707315,1,FALSE
AMY2B,478,AMY2B,24707315,1,FALSE
ANG,483,ANG,33574979,1,FALSE
ANGPTL2,490,ANGPTL2,36745138,2,FALSE
ANGPTL3,491,ANGPTL3,26546829,1,FALSE
ANGPTL4,16039,ANGPTL4,26546829,1,FALSE
ANKH,15492,ANKH,17278928; 16582687,2,FALSE
ANKRD11,21316,ANKRD11,33048330,1,FALSE
ANKS3,29422,ANKS3,26188091,1,FALSE
ANKS6,26724,ANKS6,35140360; 34740236; 31678577; 31635528; 31096956; 30180410; 30111592; 26327442; 26188091; 26039630; 24674142; 19324013; 18434273; 18175055; 17617513; 17061121,19,TRUE
ANLN,14082,ANLN,31520189; 24676636,3,TRUE
AOX1,553,AOX1,34545296,1,FALSE
AP2B1,563,AP2B1,19288324,1,FALSE
APC,583,APC,28551651; 19573802,2,FALSE
APCS,584,APCS,11936430,1,FALSE
APEX1,587,APEX1,31904337,1,FALSE
APOA1,600,APOA1,35572989; 35502644; 33216373; 31870425; 31480040; 30529744; 29968409; 28953655; 26586272; 26299174; 26193960; 20616715; 15820086; 12832750,29,TRUE
APOA2,601,APOA2,30529744; 12832750,2,FALSE
APOA5,17288,APOA5,36071387; 33193106; 31929604; 27133274; 26546829,6,TRUE
APOB,603,APOB,33889589; 28242176; 26546829; 22658148; 19282863; 15820086,10,TRUE
APOBEC3B,17352,APOBEC3B,31904337,1,FALSE
APOC1,607,APOC1,23555584; 21127830,2,FALSE
APOC2,609,APOC2,33193106; 26546829,2,FALSE
APOC3,610,APOC3,30529744; 27133274,2,FALSE
