STRING_id,cluster_index,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,symbol,hgnc_id
9606.ENSP00000258173,1-1-1,1,1,1,NA,TMEM231,37234
9606.ENSP00000261556,1-1-2,1,1,2,NA,TMEM260,20185
9606.ENSP00000262210,1-1-3,1,1,3,NA,CSPP1,26193
9606.ENSP00000278826,1-1-4,1,1,4,NA,TMEM138,26944
9606.ENSP00000303058,1-1-5,1,1,5,NA,CEP120,26690
9606.ENSP00000314116,1-1-6,1,1,6,NA,TMEM107,28128
9606.ENSP00000330460,1-1-7,1,1,7,NA,DDX59,25360
9606.ENSP00000334003,1-1-8,1,1,8,NA,INTU,29239
9606.ENSP00000334379,1-1-9,1,1,9,NA,C2CD3,24564
9606.ENSP00000346359,1-1-10,1,1,10,NA,KIAA0586,19960
9606.ENSP00000351157,1-1-11,1,1,11,NA,TXNDC15,20652
9606.ENSP00000355250,1-1-12,1,1,12,NA,KIAA0753,29110
9606.ENSP00000386264,1-1-13,1,1,13,NA,TMEM237,14432
9606.ENSP00000389014,1-1-14,1,1,14,NA,CPLANE1,25801
9606.ENSP00000436596,1-1-15,1,1,15,NA,TMEM218,27344
9606.ENSP00000464162,1-1-16,1,1,16,NA,GREB1L,31042
9606.ENSP00000474032,1-1-17,1,1,17,NA,DYNC2LI1,24595
9606.ENSP00000483364,1-1-18,1,1,18,NA,TCTN3,24519
9606.ENSP00000223208,1-2-1,1,2,1,NA,CEP41,12370
9606.ENSP00000237596,1-2-2,1,2,2,NA,PKD2,9009
9606.ENSP00000238628,1-2-3,1,2,3,NA,IFT43,29669
9606.ENSP00000242067,1-2-4,1,2,4,NA,BBS9,30000
9606.ENSP00000243344,1-2-5,1,2,5,NA,TTC21B,25660
9606.ENSP00000243578,1-2-6,1,2,6,NA,B9D2,28636
9606.ENSP00000245157,1-2-7,1,2,7,NA,BBS2,967
9606.ENSP00000260570,1-2-8,1,2,8,NA,IFT172,30391
9606.ENSP00000260746,1-2-9,1,2,9,NA,ARL3,694
9606.ENSP00000261499,1-2-10,1,2,10,NA,B9D1,24123
9606.ENSP00000262304,1-2-11,1,2,11,NA,PKD1,9008
9606.ENSP00000262366,1-2-12,1,2,12,NA,GLIS2,29450
9606.ENSP00000262457,1-2-13,1,2,13,NA,INVS,17870
9606.ENSP00000268057,1-2-14,1,2,14,NA,BBS4,969
9606.ENSP00000268766,1-2-15,1,2,15,NA,NEK8,13387
9606.ENSP00000278935,1-2-16,1,2,16,NA,CEP164,29182
9606.ENSP00000287600,1-2-17,1,2,17,NA,PDE6D,8788
9606.ENSP00000296135,1-2-18,1,2,18,NA,LZTFL1,6741
9606.ENSP00000296266,1-2-19,1,2,19,NA,IFT122,13556
9606.ENSP00000297261,1-2-20,1,2,20,NA,SHH,10848
9606.ENSP00000297837,1-2-21,1,2,21,NA,ANKS6,26724
9606.ENSP00000304941,1-2-22,1,2,22,NA,TCTN2,25774
9606.ENSP00000311505,1-2-23,1,2,23,NA,IQCB1,28949
9606.ENSP00000313169,1-2-24,1,2,24,NA,NPHP1,7905
9606.ENSP00000314444,1-2-25,1,2,25,NA,WDR35,29250
9606.ENSP00000317469,1-2-26,1,2,26,NA,BBS1,966
9606.ENSP00000332148,1-2-27,1,2,27,NA,DZIP1L,26551
9606.ENSP00000338766,1-2-28,1,2,28,NA,NPHP3,7907
9606.ENSP00000344314,1-2-29,1,2,29,NA,OFD1,2567
9606.ENSP00000349458,1-2-30,1,2,30,NA,CILK1,21219
9606.ENSP00000349658,1-2-31,1,2,31,NA,XPNPEP3,28052
9606.ENSP00000355499,1-2-32,1,2,32,NA,SDCCAG8,10671
9606.ENSP00000360158,1-2-33,1,2,33,NA,PKHD1,9016
