approved_symbol,hgnc_id,evidence_count,list_count,01_PanelApp,02_Literature,03_DiagnosticPanels,04_HPO,05_PubTator
AAAS,13666,1,1,TRUE,NULL,NULL,NULL,NULL
ABCD1,61,0,1,FALSE,NULL,NULL,NULL,NULL
ABCG2,74,1,3,FALSE,FALSE,NULL,NULL,TRUE
ACE,2707,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ACTA2,130,1,4,FALSE,TRUE,FALSE,NULL,FALSE
ACTG2,145,4,4,TRUE,TRUE,TRUE,TRUE,NULL
ACTN4,166,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMTS13,1366,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMTS9,13202,2,3,TRUE,NULL,TRUE,NULL,FALSE
ADCY10,21285,4,4,TRUE,TRUE,TRUE,TRUE,NULL
AFF3,6473,2,3,TRUE,NULL,NULL,TRUE,FALSE
AGK,21869,0,1,FALSE,NULL,NULL,NULL,NULL
AGT,333,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
AGTR1,336,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
AGXT,341,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
AHI1,21575,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
AIRE,360,3,3,TRUE,NULL,NULL,TRUE,TRUE
ALG1,18294,2,3,FALSE,TRUE,TRUE,NULL,NULL
ALG5,20266,3,4,TRUE,NULL,TRUE,TRUE,FALSE
ALG8,23161,4,4,TRUE,TRUE,TRUE,TRUE,NULL
ALG9,15672,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ALMS1,428,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ALPL,438,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
AMMECR1,467,2,2,TRUE,NULL,NULL,TRUE,NULL
AMN,14604,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ANKFY1,20763,2,3,FALSE,TRUE,TRUE,NULL,NULL
ANKS6,26724,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ANLN,14082,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ANOS1,6211,4,4,TRUE,TRUE,TRUE,TRUE,NULL
AP2S1,565,4,4,TRUE,TRUE,TRUE,TRUE,NULL
APOA1,600,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
APOA2,601,2,3,TRUE,TRUE,NULL,NULL,FALSE
APOC2,609,2,4,TRUE,FALSE,TRUE,NULL,FALSE
APOC3,610,1,2,TRUE,NULL,NULL,NULL,FALSE
APOE,613,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
APOL1,618,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
APRT,626,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
AQP2,634,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ARHGAP24,25361,3,4,FALSE,TRUE,TRUE,NULL,TRUE
ARHGDIA,678,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
ARL13B,25419,3,3,TRUE,TRUE,TRUE,NULL,NULL
ARL6,13210,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ARMC9,20730,2,3,TRUE,FALSE,TRUE,NULL,NULL
ATP1A1,799,2,4,TRUE,NULL,FALSE,TRUE,FALSE
ATP6V0A4,866,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ATP6V1B1,853,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ATP6V1C2,18264,0,2,FALSE,NULL,FALSE,NULL,NULL
ATXN10,10549,2,3,FALSE,TRUE,TRUE,NULL,NULL
AVP,894,4,4,TRUE,TRUE,TRUE,NULL,TRUE
AVPR2,897,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
B2M,914,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
B9D1,24123,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
B9D2,28636,4,4,TRUE,TRUE,TRUE,TRUE,NULL
BAP1,950,2,3,TRUE,NULL,NULL,TRUE,FALSE
BBIP1,28093,4,4,TRUE,TRUE,TRUE,TRUE,NULL
BBS1,966,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BBS10,26291,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BBS12,26648,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BBS2,967,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BBS4,969,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BBS5,970,3,3,TRUE,TRUE,TRUE,NULL,NULL
BBS7,18758,4,4,TRUE,TRUE,TRUE,NULL,TRUE
BBS9,30000,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BCS1L,1020,4,4,TRUE,TRUE,TRUE,TRUE,NULL
BICC1,19351,4,5,FALSE,TRUE,TRUE,TRUE,TRUE
BMP4,1071,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BMP7,1074,3,4,FALSE,TRUE,TRUE,NULL,TRUE
BMPR2,1078,0,3,FALSE,FALSE,FALSE,NULL,NULL
BNC2,30988,3,3,TRUE,NULL,TRUE,TRUE,NULL
BSND,16512,4,4,TRUE,TRUE,TRUE,TRUE,NULL
C1GALT1C1,24338,0,1,FALSE,NULL,NULL,NULL,NULL
C2CD3,24564,3,5,FALSE,TRUE,TRUE,TRUE,FALSE
C3,1318,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CPLANE1,25801,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CFAP418,27232,3,4,FALSE,TRUE,TRUE,TRUE,NULL
CA2,1373,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CACNA1D,1391,3,4,TRUE,NULL,TRUE,TRUE,FALSE
CACNA1H,1395,2,3,TRUE,FALSE,TRUE,NULL,NULL
CACNA1S,1397,1,3,TRUE,FALSE,NULL,NULL,FALSE
CASR,1514,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CAV1,1527,2,5,FALSE,FALSE,FALSE,TRUE,TRUE
ZNG1A,17134,0,1,FALSE,NULL,NULL,NULL,NULL
CC2D2A,29253,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CCDC28B,28163,2,5,FALSE,FALSE,TRUE,TRUE,FALSE
CD151,1630,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
