approved_symbol,panel_diagnostic,panel_diagnostic_count,hgnc_id
ABCB11,centogene_nephrology,1,HGNC:42
ABCB4,centogene_nephrology,1,HGNC:45
ABCC2,centogene_nephrology,1,HGNC:53
ABCC6,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,3,HGNC:57
ABCC8,mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,5,HGNC:59
ACE,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,14,HGNC:2707
ACP5,centogene_nephrology,1,HGNC:124
ACTA2,mgz_nephrologie,3,HGNC:130
ACTB,invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,3,HGNC:132
ACTG1,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:144
ACTG2,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,7,HGNC:145
ACTN4,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:166
ACVR2B,centogene_nephrology; blueprintgenetics_nephrology,2,HGNC:174
ACVRL1,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:175
ADA2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:1839
ADAMTS13,cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:1366
ADAMTS9,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; blueprintgenetics_nephrology,3,HGNC:13202
ADCY10,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,4,HGNC:21285
ADCY3,blueprintgenetics_nephrology,1,HGNC:234
AGPAT2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:325
AGPS,centogene_nephrology,1,HGNC:327
