approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ABCB11,42,ABCB11,centogene_nephrology,1,FALSE
ABCB4,45,ABCB4,centogene_nephrology,1,FALSE
ABCC2,53,ABCC2,centogene_nephrology,1,FALSE
ABCC6,57,ABCC6,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,3,TRUE
ABCC8,59,ABCC8,mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,2,TRUE
ACE,2707,ACE,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mvz_nierenerkrankungen; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,TRUE
ACP5,124,ACP5,centogene_nephrology,1,FALSE
ACTA2,130,ACTA2,mvz_nierenerkrankungen,1,FALSE
ACTB,132,ACTB,invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,3,TRUE
ACTG1,144,ACTG1,natera_renasight_comprehensive_kidney_gene_panel,1,FALSE
ACTG2,145,ACTG2,centogene_nephrology; mgz_nephrologie; mvz_nierenerkrankungen; blueprintgenetics_nephrology,4,TRUE
ACTN4,166,ACTN4,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mvz_nierenerkrankungen; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,TRUE
ACVR2B,174,ACVR2B,centogene_nephrology; blueprintgenetics_nephrology,2,TRUE
ACVRL1,175,ACVRL1,natera_renasight_comprehensive_kidney_gene_panel,1,FALSE
ADA2,1839,ADA2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,TRUE
ADAMTS13,1366,ADAMTS13,cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,TRUE
ADAMTS9,13202,ADAMTS9,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; blueprintgenetics_nephrology,3,TRUE
ADCY10,21285,ADCY10,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,4,TRUE
ADCY3,234,ADCY3,blueprintgenetics_nephrology,1,FALSE
AGPAT2,325,AGPAT2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,TRUE
AGPS,327,AGPS,centogene_nephrology,1,FALSE
AGT,333,AGT,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mvz_nierenerkrankungen; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,TRUE
AGTR1,336,AGTR1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mvz_nierenerkrankungen; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,9,TRUE
AGXT,341,AGXT,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mvz_nierenerkrankungen; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,TRUE
AHI1,21575,AHI1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mvz_nierenerkrankungen; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,TRUE
AIPL1,359,AIPL1,centogene_nephrology,1,FALSE
AKR1D1,388,AKR1D1,centogene_nephrology,1,FALSE
AKT2,392,AKT2,mgz_nephrologie,1,FALSE
ALDH1A2,15472,ALDH1A2,cegat_kidney_diseases_genes,1,FALSE
ALDOB,417,ALDOB,centogene_nephrology,1,FALSE
ALG1,18294,ALG1,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,4,TRUE
ALG5,20266,ALG5,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie,2,TRUE
