approved_symbol,hgnc_id,evidence_count,source_count_percentile,pLI,oe_lof,lof_z,mis_z,omim_summary,gencc_summary,clingen_summary,clinvar,clinical_groups_p,onset_groups_p,syndromic_groups_p,mgi_phenotype,interaction_score,stringdb_interaction_sum_score,stringdb_interaction_normalized_score,stringdb_interaction_string,expression_score,gtex_kidney_medulla,gtex_kidney_cortex,descartes_kidney_tpm,cur_id
ACE,2707,5,4.257174056734751,0,0.8746,0.97837,-0.69323,"{Stroke, hemorrhagic}[OMIM:614519]-NA | Renal tubular dysgenesis[OMIM:267430]-Autosomal recessive inheritance | {Microvascular complications of diabetes 3}[OMIM:612624]-NA","Limited, Supportive (renal tubular dysgenesis of genetic origin[MONDO:0009970]-Autosomal recessive) | Limited (intracerebral hemorrhage[MONDO:0013792]-Unknown) | Strong (renal tubular dysgenesis[MONDO:0017609]-Autosomal recessive)",NULL,P:24; LP:15; VUS:221,OMIM:267430 (complement: 0.143 | cakut: 0.016 | glomerulopathy: 0.007 | cyst_cilio: 0.003),NULL,OMIM:267430 (syndromic: 0.014 | skeletal: 0.05 | neurologic: 0.029),hm (true); ht (true),0.5,3097,0.5723270440251572,"9606.ENSP00000252486:325, 9606.ENSP00000305302:442, 9606.ENSP00000215832:379, 9606.ENSP00000355627:700, 9606.ENSP00000368727:311, 9606.ENSP00000231509:216, 9606.ENSP00000216181:508, 9606.ENSP00000325822:216",0,2.02982,3.8524,2.0540630055529,cur_001
ACTG2,145,4,3.007962351574665,NULL,NULL,NULL,NULL,Megacystis-microcolon-intestinal hypoperistalsis syndrome 5[OMIM:619431]-Autosomal dominant inheritance | Visceral myopathy 1[OMIM:155310]-Autosomal dominant inheritance,Supportive (megacystis-microcolon-intestinal hypoperistalsis syndrome[MONDO:0007960]-Autosomal dominant) | Supportive (familial visceral myopathy[MONDO:0016829]-Autosomal dominant) | Strong (visceral myopathy 1[MONDO:0020754]-Autosomal dominant),NULL,P:22; LP:17; VUS:28,OMIM:155310 (cakut: 0.137 | cyst_cilio: 0.021 | cancer: 0.02 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002); OMIM:619431 (cakut: 0.097 | cancer: 0.02 | cyst_cilio: 0.018 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002),OMIM:619431 (antenatal_or_congenital: 0.899),OMIM:155310 (syndromic: 0.005 | neurologic: 0.011),hm (false); ht (false),0.5,2582,0.5073375262054507,"9606.ENSP00000262518:194, 9606.ENSP00000357283:209, 9606.ENSP00000311505:153, 9606.ENSP00000252699:206, 9606.ENSP00000216181:910, 9606.ENSP00000379616:910",0,2.30606,0.9816030000000001,0.838759965043748,cur_002
ACTN4,166,5,4.057388332144462,1,0.02077,6.2964,4.1552,"Glomerulosclerosis, focal segmental, 1[OMIM:603278]-Autosomal dominant inheritance","Moderate (focal segmental glomerulosclerosis 1[MONDO:0011303]-Autosomal dominant) | Strong, Supportive (familial idiopathic steroid-resistant nephrotic syndrome[MONDO:0019006]-Autosomal dominant)",NULL,P:5; LP:5; VUS:89,OMIM:603278 (glomerulopathy: 0.235 | cyst_cilio: 0.165 | cakut: 0.069 | cancer: 0.05 | tubulopathy: 0.049 | nephrocalcinosis: 0.042 | complement: 0.036),NULL,NULL,hm (true); ht (false),1,11037,0.9308176100628931,"9606.ENSP00000269305:163, 9606.ENSP00000231509:309, 9606.ENSP00000265970:190, 9606.ENSP00000358866:187, 9606.ENSP00000288235:321, 9606.ENSP00000386896:650, 9606.ENSP00000352264:437, 9606.ENSP00000386857:206, 9606.ENSP00000362924:292, 9606.ENSP00000356587:739, 9606.ENSP00000482968:380, 9606.ENSP00000356319:292, 9606.ENSP00000376410:336, 9606.ENSP00000379204:206, 9606.ENSP00000367316:650, 9606.ENSP00000265748:473, 9606.ENSP00000216181:447, 9606.ENSP00000362424:292, 9606.ENSP00000200181:650, 9606.ENSP00000340913:454, 9606.ENSP00000377789:728, 9606.ENSP00000287820:292, 9606.ENSP00000356405:292, 9606.ENSP00000368190:914, 9606.ENSP00000346839:346, 9606.ENSP00000228606:292, 9606.ENSP00000352138:499",0.5,157.86700000000002,140.608,426.248179504114,cur_003
ADAMTS13,1366,5,3.273615423619376,NULL,NULL,NULL,NULL,"Thrombotic thrombocytopenic purpura, hereditary[OMIM:274150]-Autosomal recessive inheritance","Definitive, Strong, Strong, Supportive (congenital thrombotic thrombocytopenic purpura[MONDO:0010122]-Autosomal recessive)",Definitive (congenital thrombotic thrombocytopenic purpura[MONDO:0010122]-AR),P:41; LP:22; VUS:227,OMIM:274150 (complement: 0.143 | glomerulopathy: 0.042 | tubulopathy: 0.028 | nephrocalcinosis: 0.021),NULL,OMIM:274150 (syndromic: 0.005 | neurologic: 0.01),hm (false); ht (false),0.5,793,0.1928721174004193,"9606.ENSP00000386896:244, 9606.ENSP00000367316:225, 9606.ENSP00000437256:161, 9606.ENSP00000280481:163",0.5,4.84555,3.2947699999999998,13.3578951909432,cur_004
ADAMTS9,13202,2,1.797236241211451,1e-6,0.29427,7.1321,0.95461,NULL,Limited (ciliopathy[MONDO:0005308]-Autosomal recessive) | Supportive (nephronophthisis 1[MONDO:0009728]-Autosomal recessive),Limited (ciliopathy[MONDO:0005308]-AR),P:0; LP:1; VUS:120,NULL,NULL,NULL,hm (false); ht (false),0,171,0.031446540880503145,9606.ENSP00000256646:171,0.5,11.9264,10.9867,204.377287163022,cur_005
ADCY10,21285,4,2.0714247394040384,0,0.84637,1.2854,0.45524,"{Hypercalciuria, absorptive, susceptibility to}[OMIM:143870]-Autosomal dominant inheritance","Strong, Limited (hypercalciuria, absorptive, 2[MONDO:0007748]-Autosomal dominant) | Supportive (idiopathic inherited hypercalciuria[MONDO:0016352]-Autosomal dominant)",NULL,P:15; LP:3; VUS:139,OMIM:143870 (tubulopathy: 0.028 | nephrocalcinosis: 0.021),NULL,NULL,hm (false); ht (false),0,300,0.07127882599580712,9606.ENSP00000078429:300,0,0.028280700000000002,0.0295587,4.05616707548396,cur_006
AFF3,6473,2,1.0390919821927485,NULL,NULL,NULL,NULL,KINSSHIP syndrome[OMIM:619297]-Autosomal dominant inheritance,NULL,NULL,P:7; LP:4; VUS:56,OMIM:619297 (cakut: 0.117 | cancer: 0.1 | cyst_cilio: 0.047 | glomerulopathy: 0.011 | tubulopathy: 0.007),NULL,OMIM:619297 (syndromic: 0.163 | growth: 0.421 | skeletal: 0.174 | neurologic: 0.176),hm (false); ht (false),0,540,0.13626834381551362,9606.ENSP00000356405:540,1,0.765606,0.734201,1323.30740570324,cur_007
AGT,333,5,4.152697193639472,0,0.89384,0.36045,-0.19921,"Renal tubular dysgenesis[OMIM:267430]-Autosomal recessive inheritance | {Hypertension, essential, susceptibility to}[OMIM:145500]-Multifactorial inheritance",Supportive (renal tubular dysgenesis of genetic origin[MONDO:0009970]-Autosomal recessive) | Strong (renal tubular dysgenesis[MONDO:0017609]-Autosomal recessive),NULL,P:6; LP:5; VUS:76,OMIM:267430 (complement: 0.143 | cakut: 0.016 | glomerulopathy: 0.007 | cyst_cilio: 0.003),NULL,OMIM:267430 (syndromic: 0.014 | skeletal: 0.05 | neurologic: 0.029),hm (true); ht (true),0.5,4966,0.740041928721174,"9606.ENSP00000272190:961, 9606.ENSP00000269305:229, 9606.ENSP00000350815:614, 9606.ENSP00000315011:693, 9606.ENSP00000290866:700, 9606.ENSP00000346839:292, 9606.ENSP00000347244:229, 9606.ENSP00000260649:910, 9606.ENSP00000339191:175, 9606.ENSP00000237014:163",0,17.4583,28.7566,1.15796494559246,cur_008
AGTR1,336,5,4.086652680860323,NULL,NULL,NULL,NULL,"{Hypertension, essential}[OMIM:145500]-Multifactorial inheritance | Renal tubular dysgenesis[OMIM:267430]-Autosomal recessive inheritance","No Known Disease Relationship (essential hypertension, genetic[MONDO:0007781]-Unknown) | Moderate, Supportive (renal tubular dysgenesis of genetic origin[MONDO:0009970]-Autosomal recessive)",NULL,P:5; LP:4; VUS:67,OMIM:267430 (complement: 0.143 | cakut: 0.016 | glomerulopathy: 0.007 | cyst_cilio: 0.003),NULL,OMIM:267430 (syndromic: 0.014 | skeletal: 0.05 | neurologic: 0.029),hm (true); ht (false),0,NULL,NULL,NULL,0.5,5.070209999999999,5.55385,36.7676972052136,cur_009
AGXT,341,5,3.8985108168976494,0,0.65744,1.4648,-0.26789,"Hyperoxaluria, primary, type 1[OMIM:259900]-Autosomal recessive inheritance","Definitive, Definitive, Definitive, Strong, Supportive (primary hyperoxaluria type 1[MONDO:0009823]-Autosomal recessive) | Definitive (alanine glyoxylate aminotransferase deficiency[MONDO:0100278]-Autosomal recessive)",Definitive (alanine glyoxylate aminotransferase deficiency[MONDO:0100278]-AR),P:174; LP:99; VUS:87,OMIM:259900 (nephrocalcinosis: 0.333 | tubulopathy: 0.294 | complement: 0.214 | glomerulopathy: 0.144 | cyst_cilio: 0.081 | cakut: 0.065 | cancer: 0.03),OMIM:259900 (neonatal_or_pediatric: 0.402),OMIM:259900 (syndromic: 0.003 | skeletal: 0.004 | neurologic: 0.004),hm (true); ht (false),0,NULL,NULL,NULL,0,0.722362,3.03036,0.0160510134189565,cur_010
